Year,P,PmE,T,E,PpE,dT,dPpE,dPmE,period,mean_PpE,mean_PmE
1996,2.82803,-0.03613714,14.5126,2.86416714,5.69219714,-0.128279999999998,0.0956817273333339,0.0121861393333333,1990-2020,5.667014934866667,-0.0354864682
1997,2.831423,-0.02877372,14.6904,2.86019672,5.69161972,0.0495200000000011,0.095104307333334,0.0195495593333333,1990-2020,5.667014934866667,-0.0354864682
1998,2.847944,-0.03276693,14.88379,2.88071093,5.72865493,0.24291,0.132139517333334,0.0155563493333333,1990-2020,5.667014934866667,-0.0354864682
1999,2.810953,-0.02972833,14.61701,2.84068133,5.65163433,-0.0238699999999987,0.055118917333334,0.0185949493333333,1990-2020,5.667014934866667,-0.0354864682
2000,2.821975,-0.05259103,14.61781,2.87456603,5.69654103,-0.0230699999999988,0.100025617333334,-0.00426775066666667,1990-2020,5.667014934866667,-0.0354864682
2001,2.833446,-0.03605966,14.78173,2.86950566,5.70295166,0.14085,0.106436247333334,0.0122636193333333,1990-2020,5.667014934866667,-0.0354864682
2002,2.831144,-0.03923518,14.84391,2.87037918,5.70152318,0.20303,0.105007767333334,0.00908809933333333,1990-2020,5.667014934866667,-0.0354864682
2003,2.818781,-0.05472391,14.86397,2.87350491,5.69228591,0.223090000000001,0.0957704973333335,-0.00640063066666667,1990-2020,5.667014934866667,-0.0354864682
2004,2.82059,-0.06090561,14.78215,2.88149561,5.70208561,0.14127,0.105570197333334,-0.0125823306666667,1990-2020,5.667014934866667,-0.0354864682
2005,2.784174,-0.07143283,14.9549,2.85560683,5.63978083,0.314020000000001,0.043265417333334,-0.0231095506666667,1990-2020,5.667014934866667,-0.0354864682
2006,2.812264,-0.04515011,14.85843,2.85741411,5.66967811,0.217550000000001,0.0731626973333332,0.00317316933333333,1990-2020,5.667014934866667,-0.0354864682
2007,2.837564,-0.02221654,14.83344,2.85978054,5.69734454,0.19256,0.100829127333333,0.0261067393333333,1990-2020,5.667014934866667,-0.0354864682
2008,2.801256,-0.0296812,14.70899,2.8309372,5.6321932,0.0681100000000008,0.0356777873333334,0.0186420793333333,1990-2020,5.667014934866667,-0.0354864682
2009,2.820544,-0.02219646,14.8637,2.84274046,5.66328446,0.22282,0.0667690473333336,0.0261268193333333,1990-2020,5.667014934866667,-0.0354864682
2010,2.854732,-0.01848336,14.92028,2.87321536,5.72794736,0.279400000000001,0.131431947333334,0.0298399193333333,1990-2020,5.667014934866667,-0.0354864682
2011,2.843676,-0.009883302,14.78048,2.853559302,5.697235302,0.139600000000002,0.100719889333333,0.0384399773333333,1990-2020,5.667014934866667,-0.0354864682
2012,2.849277,-0.003330861,14.82927,2.852607861,5.701884861,0.18839,0.105369448333334,0.0449924183333333,1990-2020,5.667014934866667,-0.0354864682
2013,2.851015,-0.003144876,14.86769,2.854159876,5.705174876,0.22681,0.108659463333333,0.0451784033333333,1990-2020,5.667014934866667,-0.0354864682
2014,2.860101,-0.009410325,14.92527,2.869511325,5.729612325,0.28439,0.133096912333333,0.0389129543333333,1990-2020,5.667014934866667,-0.0354864682
2015,2.87762,-0.01732946,15.06171,2.89494946,5.77256946,0.42083,0.176054047333333,0.0309938193333333,1990-2020,5.667014934866667,-0.0354864682
2016,2.855739,-0.005622303,15.24647,2.861361303,5.717100303,0.605590000000001,0.120584890333333,0.0427009763333333,1990-2020,5.667014934866667,-0.0354864682
2017,2.86284,-0.02010475,15.12653,2.88294475,5.74578475,0.485650000000001,0.149269337333333,0.0282185293333333,1990-2020,5.667014934866667,-0.0354864682
2018,2.870177,0.007882311,15.02037,2.862294689,5.732471689,0.379490000000001,0.135956276333334,0.0562055903333333,1990-2020,5.667014934866667,-0.0354864682
2019,2.812422,-0.01631082,15.12421,2.82873282,5.64115482,0.48333,0.0446394073333343,0.0320124593333333,1990-2020,5.667014934866667,-0.0354864682
2020,2.771632,-0.008223433,14.9199,2.779855433,5.551487433,0.279020000000001,-0.0450279796666662,0.0400998463333333,NA,5.551487433,-0.008223433
